gamma=0.1	gamma=0.3	gamma=0.7	gamma=0.9	
0.431235431235431	0.146714981904182	0.161002034867734	0.105523197929112	
0.289395135464362	0.136470732119669	0.619047619047619	0.214506807066287	
0.153846153846154	0.561008403361345	0.264880386836719	0.191649747754399	
0.217997486384583	0.383417373995464	0.187766830870279	0.534883720930233	
0.367021363645508	0.31085744664692	0.378144078144078	0.4062220279817	
0.471258161247841	0.218037518037518	0.27489793279267	0.210702671972028	
0.426615051615052	0.243419870345243	0.361066334795148	0.216123949579832	
0.397419628512065	0.52012987012987	0.37030959028059	0.383939354496661	
0.446641838553603	0.364783910997005	0.327492095533333	0.42936326323054	
0.306037907161503	0.380919331898618	0.267235740450026	0.507222849614154	
0.415120671155154	0.411442619005644	0.463410663410663	0.549866594311039	
0.422725548552754	0.432628572608604	0.542838196286472	0.293454158016227	
0.31433524037101	0.402863182475758	0.349048337283631	0.535505430242272	
0.593560501123526	0.682207207207207	0.462617981975399	0.567878028404344	
0.602905140836175	0.409476407845973	0.516455026455027	0.441783978548684	
0.428878406708595	0.17814572467204	0.508377425044092	0.712359943977591	
0.375752599890531	0.503403601229688	0.642142857142857	0.528168504555973	
0.531739215176908	0.424744178235558	0.502973217258932	0.636574629851941	
0.565983634833244	0.447849927849928	0.633333333333333	0.488402825244931	
0.442067736185383	0.406967635539064	0.436659234485321	0.409162090892146	
0.448077101585873	0.63536371036371	0.56007656549084	0.538518876018876	
0.438674083118528	0.451294775053199	0.48282635239157	0.300191021759649	
0.673772609819121	0.385391447632827	0.509149114191131	0.478563103563104	
0.618997668997669	0.737752329192547	0.520785127802672	0.469119429590018	
0.406613102080938	0.57687074829932	0.751315351315351	0.640567130763209	
0.8	0.672875816993464	0.59047619047619	0.537848793363499	
0.586229957570073	0.518528693528694	0.540815100815101	0.403581871345029	
0.467374794745484	0.587555301841016	0.477651515151515	0.552494172494173	
0.516326530612245	0.796474358974359	0.364739500265816	0.53689650219062	
0.539591165413534	0.57923199767712	0.570203317494339	0.588235930735931	
0.841666666666667	0.517218137254902	0.569227691076431	0.635661764705882	
0.486060236060236	0.683997172418225	0.506599881599882	0.671177054829229	
0.328675358851408	0.503133195307108	0.543745938921377	0.573612151737152	
0.535793650793651	0.627730294396961	0.503970149932883	0.528167071024214	
0.557568705804	0.616068850728697	0.466382379697597	0.592813765182186	
0.560651455318093	0.568370538600802	0.487530108780109	0.649206349206349	
0.637301587301587	0.594386850965798	0.680199824330259	0.557216117216117	
0.548332531665865	0.627850091085385	0.765079365079365	0.71298241613459	
0.706060606060606	0.750638032990974	0.776328502415459	0.678053942789237	
0.530054271708683	0.664636561695385	0.706156629318394	0.726540619873953	
0.587893772893773	0.596807359307359	0.511194566750122	0.458062435500516	
0.437928921568627	0.575479150479151	0.707480029048656	0.532939886480908	
0.627455176402545	0.686507936507937	0.703703703703704	0.617380952380952	
0.731652661064426	0.644179894179894	0.555190125778361	0.674255628177197	
0.733950617283951	0.570259462759463	0.714778016469746	0.644806255835668	
0.652540360873694	0.667444473252096	0.699445372690987	0.705952380952381	
0.585466914038343	0.518052074631022	0.72108843537415	0.691829004329004	
0.615804334554334	0.411186696900983	0.696017871017871	0.728962703962704	
0.691654659999435	0.752272727272727	0.58965848965849	0.548757309941521	
0.826428571428571	0.779977025898078	0.544510941414966	0.617066894234077	
0.598133116883117	0.653055555555556	0.7627765064836	0.630470304063654	
0.526006441223833	0.682828282828283	1	0.754696284108049	
0.687342287342287	0.707985347985348	0.687777243332799	0.732435465768799	
0.772525676937442	0.634844322344322	0.518662818662819	0.910493827160494	
0.725947736474052	0.522608941709112	0.724931858265192	0.671620971620972	
0.7029350061703	0.806122448979592	0.784656084656085	0.586794871794872	
0.708939014202172	0.743745143745144	0.633581002331002	0.55502072002072	
0.717047930283224	0.709351432880845	0.663558897243108	0.71045066045066	
0.537875150060024	0.654761904761905	0.82312925170068	0.614770739064857	
0.66962962962963	0.602009379509379	0.52408518468116	0.709455128205128	
0.660280552780553	0.720089786756453	0.61471322537112	0.604771908763505	
0.627645502645503	0.66998556998557	0.792195458862126	0.718270676691729	
0.658556721056721	0.791636141636142	0.792881446039341	0.689949604982285	
0.697569097569098	0.710496794871795	0.675079365079365	0.887755102040816	
0.744722222222222	0.719715956558062	0.751430976430976	0.730816714150047	
0.697916666666667	0.51465058575033	0.686816578483245	0.623617123617124	
0.679978354978355	0.656651264494402	0.729422799422799	0.670068690244129	
0.795461243737106	0.725228937728938	0.784003496503497	0.572023809523809	
0.702255639097744	0.683333333333333	0.761747511747512	0.732642357642358	
0.65530303030303	0.571579411491692	0.682844932844933	0.713461538461538	
0.762581168831169	0.771767381416504	0.706512237762238	0.787944807552651	
0.929166666666667	0.674408212560387	0.749621212121212	0.866428571428571	
0.785329956898584	0.67935162425294	0.790243669374104	0.655568765217888	
0.765865642677237	0.634667184667185	0.719599844599845	0.742589768905558	
0.942592592592593	0.635247986821213	0.719515669515669	0.851048951048951	
0.763280632411067	0.7937441643324	0.6105834262356	0.554224787558121	
0.681807081807082	0.741002747252747	0.824252136752137	0.815634920634921	
0.850899100899101	0.708141882483988	0.71754582865694	0.662084962809601	
0.831351981351981	0.762674362674363	0.65991452991453	0.796666666666667	
0.564197530864198	0.665763125763126	0.886752136752137	0.892482517482518	
0.731159420289855	0.786815523657629	0.704639804639805	0.839323671497585	
0.783613445378151	0.700555555555555	0.726849816849817	0.79968253968254	
0.751187084520418	0.717355683532154	0.599426807760141	0.678099694423224	
0.701587301587302	0.770897435897436	0.768452380952381	0.691859310280363	
0.777865961199294	0.798300464967132	0.715993519915088	0.75094696969697	
0.948051948051948	0.639420252949665	0.714033189033189	0.780891330891331	
0.812012062012062	0.738098808274247	0.822807192807193	0.74962444962445	
0.786565656565657	0.726006441223833	0.602347656581066	0.770436507936508	
0.605472559394128	0.930718954248366	0.809761904761905	0.816122004357298	
0.744035087719298	0.812570145903479	0.770322344322344	0.742261904761905	
0.874017094017094	0.811372549019608	0.817680776014109	0.797691197691198	
0.802956030897207	0.833583959899749	0.792703081232493	0.825925925925926	
0.64003663003663	0.800595238095238	0.849119769119769	0.795151515151515	
0.747619047619048	0.742328042328042	0.736309523809524	0.866190476190476	
0.673608058608059	0.853968253968254	0.887205387205387	0.849159936879235	
0.77976467976468	0.750412087912088	0.845767195767196	0.738095238095238	
0.828484848484848	0.708450046685341	0.707564102564103	0.890993265993266	
0.819017094017094	0.827457264957265	0.764031339031339	0.794516594516595	
0.94973544973545	0.799145299145299	0.776577540106952	0.827655677655678	
0.935353535353535	0.802222222222222	0.714163614163614	0.837393162393162	
0.714232295482296	0.80453342953343	0.781094831094831	0.771604938271605	
0.8597668997669	0.858412698412698	0.904166666666667	0.842735042735043	
0.837843137254902	0.696801346801347	0.742744360902256	0.928571428571429	
0.841666666666667	0.730893126481362	0.740859010270775	0.735718954248366	
0.806058410188845	0.852164502164502	0.867552334943639	0.85	
0.722706995256015	0.786446886446886	0.789256854256854	0.76292735042735	
0.75003663003663	0.772435897435897	0.805555555555556	0.762962962962963	
0.753968253968254	0.733333333333333	0.721047008547009	0.865833333333333	
0.686676286676287	0.858574879227053	0.958333333333333	0.806666666666667	
0.755238095238095	0.857777777777778	0.885185185185185	0.634721944721945	
0.7393297878592	0.825567765567765	0.891737891737892	0.792105263157895	
0.731183102611674	0.779242979242979	0.699702380952381	0.774143692564745	
0.862326007326007	0.77743783993784	0.835923335923336	0.821666666666667	
0.75275974025974	0.865740740740741	0.846764346764347	0.734404761904762	
0.862433862433862	0.765812890812891	0.862081128747795	0.848701298701299	
0.750757575757576	0.84981240981241	0.821904761904762	0.844444444444444	
0.730335097001764	0.820545814479638	0.888888888888889	0.836904761904762	
0.747822966507177	0.795054945054945	0.867788461538462	0.854382284382284	
0.774859708193042	0.834858387799564	0.942857142857143	0.727160493827161	
0.716490137542769	0.817682317682318	0.771252204585538	0.785802469135802	
0.834722222222222	0.821340388007055	0.772247474747475	0.778342953342953	
0.926262626262626	0.811955691367456	0.940476190476191	0.763268213268213	
0.758119658119658	0.654012345679012	0.878095238095238	0.732738095238095	
0.609916274201988	0.749456975772765	0.901587301587302	0.864197530864197	
0.770043572984749	0.846111111111111	0.872619047619048	0.813492063492063	
0.831818181818182	0.886349206349206	0.854230769230769	0.742897842897843	
