policy=(0.99999,0.9999)	policy=(0.9999,0.9999)	policy=(0.999,0.999)	policy=(0.99,0.99)	
0.400293524124014	0.569444444444444	0.465656565656566	0.328515980500815	
0.777777777777778	0.162527233115468	0.364933275488304	0.520397771545039	
0.25625	0.240465743156825	0.453975470847594	0.538429674900263	
0.375684666210982	0.201772783824049	0.606246204775617	0.68314481217707	
0.164179104477612	0.336043205160852	0.860795454545455	0.795367965367965	
0.523188405797101	0.234449917898194	0.765641025641026	0.64982683982684	
0.818181818181818	0.453679497145159	0.594865081155404	0.802222222222222	
0.118774949283424	0.657699805068226	0.630413154097365	0.640620490620491	
0.625	0.654924242424242	0.743290043290043	0.633076923076923	
0.308760683760684	0.538385598141696	0.770682567251195	0.64531746031746	
0.368977540819352	0.510413711583924	0.824404761904762	0.662380952380952	
0.0830713980072132	0.536831942922096	0.787009803921569	0.756580086580087	
0.56227297606608	0.414908259656639	0.80363463696797	0.790064935064935	
0.221377750327909	0.462138170471504	0.904320987654321	0.71030303030303	
0.325151515151515	0.487305238621028	0.828395061728395	0.682222222222222	
0.363894724458412	0.499319727891156	0.912682379349046	0.662393162393162	
0.099996917005796	0.421039831039831	0.904761904761905	0.768095238095238	
0.391803520824611	0.542933257218971	0.941111111111111	0.747160062160062	
0.587014204735724	0.654017857142857	0.913333333333333	0.795779220779221	
0.158327090524841	0.533314511575381	0.868583638583639	0.612222222222222	
0.688073394495413	0.389646464646465	0.805050505050505	0.665064935064935	
0.396412276111524	0.437082418386766	0.860659340659341	0.671770451770452	
0.406390870689692	0.531222943722944	0.948717948717949	0.664920634920635	
0.274624096470607	0.53452380952381	0.911024531024531	0.68521645021645	
0.343615022110549	0.503389679286231	0.915151515151515	0.722619047619048	
0.555520824650607	0.627318418016092	0.765432098765432	0.735	
0.634285714285714	0.67156862745098	0.944444444444444	0.646652236652237	
0.415873015873016	0.636940836940837	0.921111111111111	0.680969585969586	
0.177119881621248	0.53775935828877	0.866984126984127	0.707393162393162	
0.200676230087995	0.395238095238095	0.977777777777778	0.66521645021645	
0.604889643463497	0.578381684057639	0.929857397504456	0.734786324786325	
0.375620275006983	0.600380822185334	0.977777777777778	0.638896658896659	
0.301973684210526	0.533829523303208	0.935	0.686580086580087	
0.232349837103657	0.680910746273514	0.912121212121212	0.762857142857143	
0.119406141565673	0.491486291486291	0.95959595959596	0.708246753246753	
0.319379867962317	0.540511600160723	0.954761904761905	0.705620490620491	
0.437881608339538	0.643612801583816	0.878033078033078	0.744072039072039	
0.511625615763547	0.654021873594242	0.981818181818182	0.696414141414141	
0.395125861792528	0.51837291061429	0.911111111111111	0.596904761904762	
0.231991603901716	0.643269671504966	0.9625	0.742715617715618	
0.375548107806172	0.71780753968254	0.951428571428571	0.687857142857143	
0.306083589349718	0.70525641025641	0.98	0.677135642135642	
0.326162498726217	0.666784529913484	0.971428571428572	0.677802197802198	
0.658823529411765	0.565328752583655	1	0.710151515151515	
0.177525367257307	0.695491613649508	0.981818181818182	0.789675324675325	
0.657575757575758	0.727513227513227	0.911111111111111	0.821904761904762	
0.295037187288709	0.702935574229692	0.928484848484848	0.697948717948718	
